"pine","Occu","OccuLower","OccuUpper"
0,0.100594164819927,0.0670652792767878,0.148223483182496
0.05,0.119450680370737,0.0821258855223119,0.170587448083085
0.1,0.141308921612154,0.0997071026803311,0.196480683154454
0.15,0.16643306919825,0.119871364204747,0.226424576465369
0.2,0.195029275693774,0.142576254092136,0.260895960255545
0.25,0.227213853024794,0.167690372323783,0.300215582455949
0.3,0.262979954065446,0.19502832700841,0.344415494345362
0.35,0.302167451715342,0.224386155073631,0.393126460979156
0.4,0.344442069592134,0.255560506910573,0.445528932055346
0.45,0.389290026503364,0.288348401432586,0.50039249163281
0.5,0.436032899506812,0.322535627511809,0.556200730835085
0.55,0.483863981765503,0.35788396031632,0.611333088703778
0.6,0.531902818426796,0.394123572298475,0.664259864732876
0.65,0.57926026356924,0.430952649996006,0.713705975471872
0.7,0.625103862948791,0.468043539335802,0.758752888970754
0.75,0.668713547682526,0.505053608305637,0.798869724025428
0.8,0.709520350232623,0.541638740871593,0.833884101859827
0.85,0.747125010211639,0.577467490849635,0.863914357421656
0.9,0.781297477105788,0.612234227700294,0.889286162606369
0.95,0.8119613159523,0.645670019903896,0.910451597196246
1,0.839168417972824,0.677550473025543,0.927921376565151
