"wetland","Occu","OccuLower","OccuUpper"
0,0.0588580442044786,0.0275623802964836,0.12128138186471
0.05,0.0798252491953423,0.0448402213569673,0.138184349357844
0.1,0.104453596816378,0.067290265661887,0.158670089274483
0.15,0.131880983083711,0.0925357043113485,0.184563291297332
0.2,0.160788244002061,0.116871347111015,0.217151891775511
0.25,0.189566830722011,0.137914313115666,0.254841497483317
0.3,0.216538754326826,0.155528696695198,0.293163664208094
0.35,0.24015885720293,0.170337803656151,0.327296769575201
0.4,0.259150908697432,0.182717674449925,0.353707631232026
0.45,0.272567468752624,0.192624055489862,0.370456065530575
0.5,0.279794096154611,0.19958367140355,0.377047438718829
0.55,0.280529992394217,0.202599984573878,0.374355983586053
0.6,0.274772337643428,0.199996582571415,0.364756604836472
0.65,0.262817980549518,0.189563913410549,0.352104539396443
0.7,0.245279630395388,0.169814636738436,0.340612261205777
0.75,0.223098136056058,0.142035934446965,0.332689870870848
0.8,0.197522598913077,0.110436556362987,0.328261275198772
0.85,0.170032593135085,0.0798892540452484,0.326139490079875
0.9,0.14219579059074,0.0539196528843267,0.325211265008149
0.95,0.115484247746341,0.0340725142172465,0.32473184993593
1,0.0910971732085318,0.0202341247261541,0.324257879791822
